3	2002	AME	9916	15134	32431
11	2002	AME	9929	14242	33880
9	2003	AME	9939	13636	35172
10	2001	AME	9953	13895	34483
1	2003	AME	9953	14222	31419
10	2004	AME	10015	13348	32931
6	2004	AME	10025	14515	32379
4	2002	AME	10031	14108	33587
8	2002	AME	10037	14544	30639
10	2002	AME	10047	15104	33204
4	2003	AME	10053	15401	34773
5	2003	AME	10089	15527	28704
8	2000	AME	10091	13435	33407
12	2004	AME	10102	15527	28729
12	2002	AME	10108	14050	32496
11	2003	AME	10108	13828	33156
3	2000	AME	10129	14460	28537
2	2000	AME	10142	15103	35652
1	2004	AME	10150	13578	29737
7	2000	AME	10177	14575	33599
12	2001	AME	10197	13848	30806
12	2003	AME	10211	14269	29992
1	2002	AME	10216	15345	34952
3	2003	AME	10229	13993	31856
8	2004	AME	10274	14556	32060
8	2003	AME	10335	13789	30309
4	2001	AME	10368	14614	35042
6	2003	AME	10402	14002	30549
12	2005	AME	10413	15086	35167
6	2000	AME	10460	14676	34768
12	2000	AME	10463	13562	31940
4	2004	AME	10474	13684	31101
9	2004	AME	10478	14912	28848
2	2001	AME	10491	14498	29020
8	2001	AME	10494	13826	31886
9	2000	AME	10553	13841	34594
3	2004	AME	10553	13563	29128
6	2005	AME	10564	15051	35387
1	2000	AME	10565	14227	29827
2	2005	AME	10572	13381	34981
11	2005	AME	10572	13349	35494
9	2001	AME	10575	15076	28510
9	2002	AME	10627	13533	32663
7	2005	AME	10654	15388	35490
1	2005	AME	10656	13765	32696
11	2004	AME	10660	14266	33488
5	2002	AME	10661	14685	33196
7	2001	AME	10663	13632	30614
11	2000	AME	10681	15281	31172
1	2001	AME	10721	14525	28459
5	2001	AME	10725	14027	33088
5	2004	AME	10730	14502	28288
2	2003	AME	10740	13865	34659
7	2003	AME	10753	14417	35712
11	2001	AME	10813	15266	30840
8	2005	AME	10822	14030	28862
10	2005	AME	10833	14231	32716
2	2004	AME	10843	15564	31230
2	2002	AME	10845	13372	34576
3	2001	AME	10857	13332	29568
5	2005	AME	10866	13431	30777
9	2005	AME	10927	13326	35347
5	2000	AME	10931	13394	29778
4	2005	AME	10946	15521	31881
6	2002	AME	10956	13730	35461
6	2001	AME	10984	13598	35414
8	2001	MON	11835	18782	22341
4	2005	MON	12047	17026	25697
9	2003	MON	12087	18328	22913
10	2001	MON	12091	19779	23181
2	2004	MON	12231	18834	21346
3	2000	MON	12363	17929	21281
11	2005	MON	12425	20900	19995
2	2001	MON	12428	19938	22617
1	2002	MON	12511	20407	20152
3	2005	MON	12608	19159	20569
3	2004	MON	12705	17455	24907
1	2003	MON	12798	20017	25247
1	2004	MON	12829	21375	20121
5	2000	MON	12833	20293	25619
9	2000	MON	12947	19976	23029
10	2004	MON	12949	20116	25370
6	2003	MON	13009	21360	25054
3	2003	MON	13063	17083	24676
2	2005	MON	13197	19922	20069
6	2005	MON	13318	20133	20811
2	2000	MON	13548	18754	21165
3	2002	MON	13604	19964	20072
5	2001	MON	13692	16625	20277
1	2000	MON	13856	19153	24374
10	2000	MON	13871	18924	22920
12	2004	MON	13963	20925	22682
9	2002	MON	14007	21467	21341
8	2004	MON	14075	20244	22592
12	2003	MON	14081	18553	21005
12	2001	MON	14190	20289	24030
4	2001	MON	14211	18307	25797
10	2005	MON	14311	19621	22696
5	2002	MON	14331	19930	21962
7	2000	MON	14417	20033	22222
7	2002	MON	14553	19364	26433
10	2003	MON	14567	20391	25807
5	2003	MON	14617	18736	23529
8	2000	MON	14627	18643	23578
10	2002	MON	14723	17269	23612
7	2005	MON	14880	19647	21011
11	2004	MON	14916	20925	20074
5	2005	MON	14980	21098	25194
6	2000	MON	14996	19135	22462
6	2004	MON	15083	15796	24189
7	2004	MON	15209	19070	22327
9	2001	MON	15382	17781	21489
11	2003	MON	15550	17023	21986
4	2002	MON	15765	19610	21428
7	2001	MON	15930	17889	20514
11	2000	MON	15970	16442	21010
4	2004	MON	16007	18674	21911
12	2002	MON	16071	17009	21834
1	2005	MON	16197	20323	20193
12	2005	MON	16493	21215	25891
4	2000	MON	16526	18542	23692
9	2005	MON	16598	16641	24064
7	2003	MON	16603	16397	26142
6	2002	MON	16631	21208	25642
4	2003	MON	16798	20013	20213
3	2001	MON	16801	18536	24820
8	2002	MON	16818	20683	25117
8	2003	MON	16889	16730	21277
11	2001	MON	16901	17171	23359
8	2005	MON	16945	18736	23797
11	2002	MON	17016	16718	22888
2	2003	MON	17417	21366	24781
9	2004	MON	17605	18546	25478
12	2000	MON	17640	16892	25526
2	2002	MON	17788	15860	22585
1	2001	MON	17792	17163	25333
5	2004	MON	18035	19241	20474
6	2001	MON	18118	19970	21908
